Model,Dataset,Quantization,Prediction Accuracy,Mean Abs Value of Output,Inference Time,Model Size,% Prediction Accuracy w.r.t float32,% Mean Abs Value of Output w.r.t float32,% Inference Time w.r.t float32,% Model Size w.r.t float32
alexNet,CIFAR10,float32,64.18,3.14115834236145,0.0228469371795654,228183679,100.0,100.0,,100.0
alexNet,CIFAR10,torch.qint8,65.52,2.9299404621124268,0.0153965950012207,64484955,99.98982395441132,100.0598072217928,inf,30.11833159257436
alexNet,CIFAR10,torch.float16,65.54,2.932572603225708,0.0173835754394531,228185563,100.0,100.00176914533701,inf,100.77953987938741
alexNet,CIFAR10,float64,64.6,3.0124191834207035,0.0556280612945556,456362943,100.0,99.99999589695479,inf,198.73104673637707
alexNet,CIFAR100,float32,16.82,1.2675979137420654,0.0228481292724609,229658623,100.0,100.0,100.0,100.0
alexNet,CIFAR100,torch.qint8,17.68,1.2441914081573486,0.0163898468017578,64853979,100.0229463056448,99.77816961985204,100.0,30.11833159257436
alexNet,CIFAR100,torch.float16,17.67,1.2441462278366089,0.0168867111206054,229660507,100.0,99.99316378908384,100.0,100.77953987938741
alexNet,CIFAR100,float64,16.64,1.324009497870008,0.0536401271820068,459312767,100.0,99.99999790175964,100.09601536245736,198.73104673637707
alexNet,FashionMNIST,float32,88.83,3.21087384223938,0.0218536853790283,228121727,100.0,100.0,100.0,100.0
alexNet,FashionMNIST,torch.qint8,89.35,3.1229028701782227,0.0153963565826416,64423003,100.0,100.04908892107417,0.0,30.456737566057498
alexNet,FashionMNIST,torch.float16,89.32,3.1232099533081055,0.0163905620574951,228123611,99.98165810711664,99.99939450758936,99.90403071017336,100.77576491296539
alexNet,FashionMNIST,float64,88.73,3.1727193493861985,0.0501632690429687,456239039,100.0,99.99999560959185,100.04798464491333,198.7371917150856
alexNet,MNIST,float32,98.83,4.582718849182129,0.0218532085418701,228121727,100.0,100.0,,100.0
alexNet,MNIST,torch.qint8,99.05,4.340033531188965,0.0144031047821044,64423003,100.05319148936168,100.1911283602568,inf,29.966382557268574
